Warehouse,Part_No,Date,Demand,Material_Description
1110,ID304913,2024-03,2000.0,
1110,ID309786,2024-03,3864.0,
1110,ID332218,2024-03,2408.0,
1110,ID332219,2024-03,1616.0,
1110,ID334315,2024-03,2905.0,
1110,IE314595,2024-03,1440.0,
1110,IF000466,2024-03,1773.0,
1110,IM300205,2024-03,7760.0,
1110,MB344408,2024-03,2000.0,
1110,ME074696,2024-03,2792.0,
1110,MF434103,2024-03,1670.0,
1110,MF434104,2024-03,2160.0,
1110,MF434105,2024-03,2550.0,
1110,MF445086,2024-03,1430.0,
1110,MF472127,2024-03,1410.0,
1110,ID364170,2024-03,1733.0,
1110,ID370657,2024-03,2850.0,
1110,ID377754,2024-03,3185.0,
1110,ID378974,2024-03,2209.0,
1110,IA202651,2024-04,1529.0,
1110,IA203086,2024-04,1208.0,
1110,IA203416,2024-04,2188.0,
1110,IA215142,2024-04,932.0,
1110,IA215577,2024-04,2028.0,
1110,IA215578,2024-04,2038.0,
1110,IA301086,2024-04,2700.0,
1110,IA328687,2024-04,1530.0,
1110,IA329978,2024-04,1590.0,
1110,IB002922,2024-04,4953.0,
1110,IB999850,2024-04,1503.0,
1110,ID201024,2024-04,1686.0,
1110,ID206974,2024-04,2361.0,
1110,ID301958,2024-04,5466.0,
1110,ID304913,2024-04,1115.0,
1110,ID309786,2024-04,3344.0,
1110,ID332218,2024-04,2013.0,
1110,ID332219,2024-04,1127.0,
1110,ID334315,2024-04,2713.0,
1110,IE314595,2024-04,2193.0,
1110,IF000466,2024-04,1385.0,
1110,IM300205,2024-04,6670.0,
1110,MB344408,2024-04,577.0,
1110,ME074696,2024-04,3304.0,
1110,MF434103,2024-04,1883.0,
1110,MF434104,2024-04,1200.0,
1110,MF434105,2024-04,2070.0,
1110,MF445086,2024-04,1950.0,
1110,MF472127,2024-04,2400.0,
1110,ID364170,2024-04,946.0,
1110,ID370657,2024-04,1842.0,
1110,ID377754,2024-04,2250.0,
1110,ID378974,2024-04,1841.0,
1110,IA202651,2024-05,1742.0,
1110,IA203086,2024-05,1627.0,
1110,IA203416,2024-05,2560.0,
1110,IA215142,2024-05,1314.0,
1110,IA215577,2024-05,2067.0,
1110,IA215578,2024-05,1782.0,
1110,IA301086,2024-05,2434.0,
1110,IA328687,2024-05,2030.0,
1110,IA329978,2024-05,1770.0,
1110,IB002922,2024-05,7671.0,
1110,IB999850,2024-05,1903.0,
1110,ID201024,2024-05,3173.0,
1110,ID206974,2024-05,1396.0,
1110,ID301958,2024-05,4359.0,
1110,ID304913,2024-05,1510.0,
1110,ID309786,2024-05,2429.0,
1110,ID332218,2024-05,2013.0,
1110,ID332219,2024-05,1511.0,
1110,ID334315,2024-05,2536.0,
1110,IE314595,2024-05,1320.0,
1110,IF000466,2024-05,1456.0,
1110,IM300205,2024-05,8650.0,
1110,MB344408,2024-05,820.0,
1110,ME074696,2024-05,2848.0,
1110,MF434103,2024-05,1602.0,
1110,MF434104,2024-05,2610.0,
1110,MF434105,2024-05,2100.0,
1110,MF445086,2024-05,1510.0,
1110,MF472127,2024-05,1260.0,
1110,ID364170,2024-05,775.0,
1110,ID370657,2024-05,3899.0,
1110,ID377754,2024-05,3366.0,
1110,ID378974,2024-05,2006.0,
1110,IA202651,2024-06,1772.0,
1110,IA203086,2024-06,1473.0,
1110,IA203416,2024-06,2896.0,
1110,IA215142,2024-06,2498.0,
1110,IA215577,2024-06,3128.0,
1110,IA215578,2024-06,2608.0,
1110,IA301086,2024-06,1812.0,
1110,IA328687,2024-06,990.0,
1110,IA329978,2024-06,2070.0,
1110,IB002922,2024-06,7673.0,
1110,IB999850,2024-06,1117.0,
1110,ID201024,2024-06,3822.0,
1110,ID206974,2024-06,3201.0,
1110,ID301958,2024-06,8586.0,
1110,ID304913,2024-06,1472.0,
1110,ID309786,2024-06,3056.0,
1110,ID332218,2024-06,3057.0,
1110,ID332219,2024-06,1416.0,
1110,ID334315,2024-06,2680.0,
1110,IE314595,2024-06,2190.0,
1110,IF000466,2024-06,1904.0,
1110,IM300205,2024-06,5760.0,
1110,MB344408,2024-06,720.0,
1110,ME074696,2024-06,3440.0,
1110,MF434103,2024-06,1940.0,
1110,MF434104,2024-06,2370.0,
1110,MF434105,2024-06,2040.0,
1110,MF445086,2024-06,1843.0,
1110,MF472127,2024-06,2100.0,
1110,ID364170,2024-06,1728.0,
1110,ID370657,2024-06,2361.0,
1110,ID377754,2024-06,2712.0,
1110,ID378974,2024-06,2040.0,
1110,IA202651,2024-07,1455.0,
1110,IA203086,2024-07,1830.0,
1110,IA203416,2024-07,1874.0,
1110,IA215142,2024-07,1061.0,
1110,IA215577,2024-07,2055.0,
1110,IA215578,2024-07,2197.0,
1110,IA301086,2024-07,2845.0,
1110,IA328687,2024-07,1070.0,
1110,IA329978,2024-07,1860.0,
1110,IB002922,2024-07,7787.0,
1110,IB999850,2024-07,2065.0,
1110,ID201024,2024-07,7327.0,
1110,ID206974,2024-07,529.0,
1110,ID301958,2024-07,3567.0,
1110,ID304913,2024-07,2586.0,
1110,ID309786,2024-07,2104.0,
1110,ID332218,2024-07,1831.0,
1110,ID332219,2024-07,1418.0,
1110,ID334315,2024-07,2890.0,
1110,IE314595,2024-07,1980.0,
1110,IF000466,2024-07,1913.0,
1110,IM300205,2024-07,6396.0,
1110,MB344408,2024-07,840.0,
1110,ME074696,2024-07,2832.0,
1110,MF434103,2024-07,1350.0,
1110,MF434104,2024-07,1903.0,
1110,MF434105,2024-07,2190.0,
1110,MF445086,2024-07,750.0,
