Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Demand_Percentage,Cumulative_Percentage,ABC_Class,XYZ_Class,ABC_XYZ,Forecast_Strategy
1155,ME074696,189648.0,2830.57,1687.86,0.6,67,0.0,Fast Moving,0.2002798726832483,5.113185871318774,A,Y,AY,ARIMA
1153,MF472103,171082.0,2553.46,799.97,0.31,67,0.0,Fast Moving,0.1806730425756954,5.29385891389447,A,X,AX,Holt-Winters
1153,MF434104,163558.0,2441.16,686.79,0.28,67,0.0,Fast Moving,0.1727272389707601,5.46658615286523,A,X,AX,Holt-Winters
1153,MF434105,158377.0,2363.84,652.52,0.28,67,0.0,Fast Moving,0.1672557864884144,5.633841939353645,A,X,AX,Holt-Winters
1153,MB486038,155430.0,2319.85,808.04,0.35,67,0.0,Fast Moving,0.1641435744703729,5.797985513824018,A,X,AX,Holt-Winters
1153,MB293356,154073.0,2299.6,810.34,0.35,67,0.0,Fast Moving,0.1627104995777762,5.960696013401794,A,X,AX,Holt-Winters
1155,ID201024,153689.0,2293.87,1059.02,0.46,67,0.0,Fast Moving,0.162304972121065,6.123000985522859,A,X,AX,Holt-Winters
1110,ME074696,151040.0,2254.33,907.35,0.4,67,0.0,Fast Moving,0.1595074663064088,6.282508451829268,A,X,AX,Holt-Winters
1153,ID201024,146970.0,2193.58,743.07,0.34,67,0.0,Fast Moving,0.1552092976897041,6.437717749518972,A,X,AX,Holt-Winters
1155,IA215577,143735.0,2145.3,811.74,0.38,67,0.0,Fast Moving,0.1517929400791292,6.589510689598102,A,X,AX,Holt-Winters
1155,IB999850,142182.0,2122.12,1239.09,0.58,67,0.0,Fast Moving,0.1501528772138362,6.739663566811938,A,Y,AY,ARIMA
1110,IA215577,141386.0,2110.24,827.94,0.39,67,0.0,Fast Moving,0.1493122525900286,6.888975819401967,A,X,AX,Holt-Winters
1153,IA215142,140761.0,2100.91,914.15,0.44,67,0.0,Fast Moving,0.1486522144117877,7.037628033813755,A,X,AX,Holt-Winters
1153,ID309786,138949.0,2073.87,804.51,0.39,67,0.0,Fast Moving,0.1467386317254316,7.184366665539187,A,X,AX,Holt-Winters
1110,MF434104,136821.0,2042.1,997.18,0.49,67,0.0,Fast Moving,0.144491333736157,7.328857999275344,A,X,AX,Holt-Winters
1110,ID334315,136028.0,2030.27,1895.67,0.93,67,0.0,Fast Moving,0.143653877295605,7.472511876570949,A,Y,AY,ARIMA
1153,IB002922,133474.0,1992.15,583.27,0.29,67,0.0,Fast Moving,0.1409566972840414,7.61346857385499,A,X,AX,Holt-Winters
1110,IA203416,132410.0,1976.27,703.11,0.36,67,0.0,Fast Moving,0.1398330482894041,7.753301622144394,A,X,AX,Holt-Winters
1110,MF434105,130815.0,1952.46,1010.51,0.52,67,0.0,Fast Moving,0.1381486308585333,7.891450253002928,A,Y,AY,ARIMA
1153,ID301958,129070.0,1926.42,702.34,0.36,67,0.0,Fast Moving,0.1363058042648847,8.027756057267812,A,X,AX,Holt-Winters
1110,ID370657,125873.0,1878.7,1457.42,0.78,67,0.0,Fast Moving,0.1329295769755468,8.16068563424336,A,Y,AY,ARIMA
1153,ME013536,125544.0,1873.79,519.84,0.28,67,0.0,Fast Moving,0.1325821328785208,8.29326776712188,A,X,AX,Holt-Winters
1110,MF434103,124457.0,1857.57,1139.71,0.61,67,0.0,Fast Moving,0.1314341944789243,8.424701961600805,A,Y,AY,ARIMA
1110,ID332218,123699.0,1846.25,1049.34,0.57,67,0.0,Fast Moving,0.1306337001763537,8.555335661777159,A,Y,AY,ARIMA
1110,IA215578,123206.0,1838.9,642.54,0.35,67,0.0,Fast Moving,0.1301130620613573,8.685448723838515,A,X,AX,Holt-Winters
1153,MF434103,123150.0,1838.06,740.66,0.4,67,0.0,Fast Moving,0.1300539226405869,8.815502646479102,A,X,AX,Holt-Winters
1155,MF434103,122901.0,1834.34,794.34,0.43,67,0.0,Fast Moving,0.1297909634303757,8.945293609909477,A,X,AX,Holt-Winters
1110,ID377754,122539.0,1828.94,1423.92,0.78,67,0.0,Fast Moving,0.1294086693175386,9.074702279227017,A,Y,AY,ARIMA
1155,IE332266,122453.0,1827.66,1853.31,1.01,54,0.19,Fast Moving,0.1293178480642126,9.204020127291228,A,Z,AZ,ARIMA
1155,MF434105,120710.0,1801.64,574.62,0.32,67,0.0,Fast Moving,0.1274771335927344,9.331497260883962,A,X,AX,Holt-Winters
1155,IA329978,119793.0,1787.96,625.95,0.35,67,0.0,Fast Moving,0.1265087255776193,9.45800598646158,A,X,AX,Holt-Winters
1110,ID206974,119771.0,1787.63,1194.76,0.67,67,0.0,Fast Moving,0.1264854922337453,9.584491478695329,A,Y,AY,ARIMA
1155,IA203416,118565.0,1769.63,448.53,0.25,67,0.0,Fast Moving,0.1252118825650116,9.709703361260338,A,X,AX,Holt-Winters
1153,MF472127,118230.0,1764.63,548.75,0.31,67,0.0,Fast Moving,0.1248581021014745,9.834561463361814,A,X,AX,Holt-Winters
1153,IA230267,117011.0,1746.43,839.71,0.48,67,0.0,Fast Moving,0.1235707636386335,9.958132227000448,A,X,AX,Holt-Winters
1155,IA202651,115655.0,1726.19,800.36,0.46,67,0.0,Fast Moving,0.122138744807122,10.08027097180757,A,X,AX,Holt-Winters
1155,IB001883,113610.0,1695.67,768.21,0.45,67,0.0,Fast Moving,0.1199790998879178,10.200250071695487,A,X,AX,Holt-Winters
1153,MF140225,112730.0,1682.54,519.31,0.31,67,0.0,Fast Moving,0.1190497661329546,10.319299837828442,A,X,AX,Holt-Winters
1110,MF445086,112692.0,1681.97,1116.88,0.66,67,0.0,Fast Moving,0.1190096358117176,10.43830947364016,A,Y,AY,ARIMA
1155,IE314595,111781.0,1668.37,1328.58,0.8,67,0.0,Fast Moving,0.1180475641631136,10.556357037803274,A,Y,AY,ARIMA
1110,ID364170,110738.0,1652.81,1140.9,0.69,67,0.0,Fast Moving,0.1169460924512652,10.673303130254538,A,Y,AY,ARIMA
1153,IB999501,110485.0,1649.03,507.8,0.31,67,0.0,Fast Moving,0.1166789089967133,10.789982039251251,A,X,AX,Holt-Winters
1110,MB344408,107920.0,1610.75,1187.46,0.74,67,0.0,Fast Moving,0.1139701123132126,10.903952151564464,A,Y,AY,ARIMA
1155,ID378974,107894.0,1610.36,1293.25,0.8,47,0.3,Fast Moving,0.1139426547249978,11.017894806289462,A,Y,AY,ARIMA
1153,MH001715,107730.0,1607.91,474.4,0.3,67,0.0,Fast Moving,0.1137694607070274,11.13166426699649,A,X,AX,Holt-Winters
1155,ID301958,107667.0,1606.97,612.88,0.38,67,0.0,Fast Moving,0.1137029288586607,11.24536719585515,A,X,AX,Holt-Winters
1152,IM300205,107408.0,1603.1,1016.56,0.63,67,0.0,Fast Moving,0.1134294090375977,11.35879660489275,A,Y,AY,ARIMA
1153,MS660164,106790.0,1593.88,523.52,0.33,67,0.0,Fast Moving,0.1127767632869531,11.471573368179705,A,X,AX,Holt-Winters
1110,IB999850,106780.0,1593.73,886.08,0.56,67,0.0,Fast Moving,0.1127662026761012,11.584339570855803,A,Y,AY,ARIMA
1110,MF472127,106640.0,1591.64,718.04,0.45,67,0.0,Fast Moving,0.1126183541241753,11.696957924979978,A,X,AX,Holt-Winters
1155,ID202139,105935.0,1581.12,1055.23,0.67,67,0.0,Fast Moving,0.1118738310591195,11.808831756039098,A,Y,AY,ARIMA
