Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class
1152,IA204713,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204720,1.0,0.01,0.12,8.12,1,0.99,Intermittent
1152,IA204735,155.0,2.31,2.99,1.29,49,0.27,Fast Moving
1152,IA204736,115.0,1.72,3.04,1.77,45,0.33,Fast Moving
1152,IA204740,54.0,0.81,1.08,1.34,31,0.54,Fast Moving
1152,IA204879,2.0,0.03,0.24,8.12,1,0.99,Intermittent
1152,IA204880,6.0,0.09,0.38,4.2,4,0.94,Intermittent
1152,IA204881,2672.0,39.88,59.3,1.49,57,0.15,Fast Moving
1152,IA204891,42.0,0.63,0.91,1.45,25,0.63,Fast Moving
1152,IA204896,224.0,3.34,13.0,3.89,17,0.75,Slow Moving
1152,IA204910,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204925,307.0,4.58,6.7,1.46,49,0.27,Fast Moving
1152,IA204926,112.0,1.67,2.26,1.35,45,0.33,Fast Moving
1152,IA204927,5.0,0.07,0.31,4.21,4,0.94,Intermittent
1152,IA204957,27.0,0.4,1.7,4.22,8,0.88,Slow Moving
1152,IA204959,31.0,0.46,1.44,3.11,9,0.87,Slow Moving
1152,IA204966,15.0,0.22,0.59,2.65,9,0.87,Slow Moving
1152,IA204968,116.0,1.73,3.25,1.88,27,0.6,Fast Moving
1152,IA204977,88.0,1.31,2.1,1.6,28,0.58,Fast Moving
1152,IA204980,21.0,0.31,0.97,3.08,10,0.85,Slow Moving
1152,IA204981,8.0,0.12,0.74,6.23,3,0.96,Intermittent
1152,IA204982,13.0,0.19,1.12,5.79,4,0.94,Intermittent
1152,IA204989,3.0,0.04,0.21,4.62,3,0.96,Intermittent
1152,IA204990,5.0,0.07,0.31,4.21,4,0.94,Intermittent
1152,IA204991,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA204992,5.0,0.07,0.36,4.81,3,0.96,Intermittent
1152,IA204997,709.0,10.58,20.3,1.92,53,0.21,Fast Moving
1152,IA204999,19.0,0.28,0.77,2.71,11,0.84,Slow Moving
1152,IA205000,3.0,0.04,0.21,4.62,3,0.96,Intermittent
1152,IA205004,3393.0,50.64,94.36,1.86,39,0.42,Fast Moving
1152,IA205019,2318.0,34.6,34.31,0.99,54,0.19,Fast Moving
1152,IA205056,10100.0,150.75,95.01,0.63,67,0.0,Fast Moving
1152,IA205139,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA205194,26.0,0.39,1.09,2.81,11,0.84,Slow Moving
1152,IA205195,30.0,0.45,1.55,3.46,8,0.88,Slow Moving
1152,IA205207,50.0,0.75,0.8,1.07,36,0.46,Fast Moving
1152,IA205210,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA205211,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
